lugar;nom_muni;direccion;X;Y;Categoria
Villa el carmen;Concepcion de Ataco;CA-8, Concepción de Ataco;-89,8473235;13,8634102;Restaurante
El Asador;Concepcion de Ataco;Concepción de Ataco;-89,8505457;13,8664913;Restaurante
Grill Burger;Concepcion de Ataco;6ª Calle Oriente, Barrio El Calvario, Concepción de Ataco CP 2126;-89,8506248;13,8668325;Restaurante
Restaurante BenGer;Concepcion de Ataco;4 avenida sur, Concepción de Ataco;-89,8509246;13,8668103;Restaurante
La Bendición;Concepcion de Ataco;Concepción de Ataco;-89,8508998;13,8669347;Restaurante
Taqueria Cachinflin;Concepcion de Ataco;4 avenida sur, 6 calle oriente N10 Ataco, Concepción de Ataco;-89,8509219;13,8669923;Restaurante
La Estancia Coffee & Grill;Concepcion de Ataco;Concepción de Ataco;-89,8514322;13,8673839;Restaurante
Restaurante The Half Moon;Concepcion de Ataco;4a. Calle Ote., Concepción de Ataco CP 2106;-89,8517621;13,8674151;Restaurante
A la vista lupita;Concepcion de Ataco;Concepción de Ataco;-89,8512916;13,8674520;Restaurante
Pupuseria Cielito Lindo;Concepcion de Ataco;Concepción de Ataco;-89,851910;13,867550;Restaurante
Bert-Anthony;Concepcion de Ataco;a la par de the house coffe, Concepción de Ataco;-89,852037;13,867716;Restaurante
Restaurante Las Terrazas;Concepcion de Ataco;Concepción de Ataco;-89,851375;13,867997;Restaurante
Charlie's Bistro;Concepcion de Ataco;Concepción de Ataco;-89,851857;13,868267;Restaurante
Acordes Café & Restaurante;Concepcion de Ataco;Concepción de Ataco;-89,851107;13,868740;Restaurante
Restaurante La rinconchita;Concepcion de Ataco;2a calle oriente, Barrio el Centro, Concepcion de Ataco, Ahuachapán, Concepción de Ataco- Tacuba, Concepción de Ataco;-89,851261;13,868795;Restaurante
Tacos Lolita;Concepcion de Ataco;Concepción de Ataco;-89,850000;13,869116;Restaurante
Restaurante Portland Ataco;Concepcion de Ataco;1a Sur #1 Concepción de Ataco El Salvador Ataco Ahuachapan CP, Concepción de Ataco 2106;-89,851791;13,869589;Restaurante
Los Farolitos;Concepcion de Ataco;Concepción de Ataco;-89,851256;13,870329;Restaurante
La Raclette;Concepcion de Ataco;3a. Calle Ote., Concepción de Ataco;-89,850257;13,870623;Restaurante
Piccolo Giardino;Concepcion de Ataco;Concepción de Ataco;-89,853879;13,870792;Restaurante
Restaurante Bi Fang;Concepcion de Ataco;Concepción de Ataco Barrio San Antonio 2 Avenida Norte Casa #4, Concepción de Ataco CP 2106;-89,849964;13,871641;Restaurante
Vista al Cielo, Ataco, Restaurante Y Hotel Boutique;Concepcion de Ataco;3 cuadras al norte del parque Central, Concepción de Ataco;-89,849872;13,872571;Restaurante
Cafe Alvina;Apaneca;Apaneca;-89,803662;13,856321;Restaurante
Restaurante Ta Chingon;Apaneca;Apaneca;-89,805872;13,857347;Restaurante
Plaza Turística Apanecatl;Apaneca;Apaneca;-89,804520;13,859118;Restaurante
La Parrillada de Apaneca;Apaneca;CA-8, Apaneca;-89,806360;13,859097;Restaurante
Yulu Ne Gascu;Apaneca;Apaneca;-89,805325;13,859912;Restaurante
THE MOLINA'S FARM;Apaneca;Apaneca;-89,803990;13,861103;Restaurante
Ranitas Restaurante;Apaneca;Ruta de las Flores, Apaneca;-89,801873;13,864136;Restaurante
Krazy engineer´s;Juayúa;Juayúa;-89,744976;13,839001;Restaurante
Restaurante Las Ranitas;Juayúa;Juayúa;-89,745005;13,841796;Restaurante
Juayúa Hot´s;Juayúa;Juayúa;-89,745367;13,842621;Restaurante
Baking Pizza;Juayúa;2 Calle Oriente, Juayúa;-89,746108;13,842857;Restaurante
Parrillada Cuscatleca Juayua;Juayúa;Juayúa;-89,748715;13,842908;Restaurante
"Restaurante R&R ""Cocina Autor""";Juayúa;Calle Mercedes Pte 1-2, Juayúa;-89,746816;13,843413;Restaurante
Taqueria la Guadalupana;Juayúa;Juayúa;-89,745872;13,843463;Restaurante
Delicias De Mexico;Juayúa;1 Calle Pte, Juayúa;-89,747959;13,844387;Restaurante
ORBE Bistro;Juayúa;Juayúa;-89,748334;13,845117;Restaurante
Los Patios;Salcoatitán;Salcoatitán;-89,757316;13,827461;Restaurante
Italia Pasta e Pasticci;Salcoatitán;1a. Avenida sur, Barrio el calvario casa 2-4A Salcoatitan Sonsonate CP, Salcoatitán 2307;-89,758188;13,828050;Restaurante
Rincón de la Quesadilla Típica;Salcoatitán;Ruta de las Flores, Salcoatitán;-89,758531;13,828818;Restaurante
Plaza Quetzalcoatl;Salcoatitán;Salcoatitán;-89,757796;13,829185;Restaurante
Kalas Café Y Más;Salcoatitán;Salcoatitán;-89,756270;13,830206;Restaurante
Parque Restaurante La Colina;Salcoatitán;RN 12W, Salcoatitan;-89,757890;13,832593;Restaurante
Finca Santa Clara;Salcoatitán;Km 83 carretera Salcoatitan hacia, Juayúa;-89,754938;13,833921;Restaurante
Cafe Restaurante Carbon y Leña;Salcoatitán;Ruta de las Flores, Salcoatitán;-89,761299;13,834522;Restaurante
NOVO pizzas Y Taqueria;Nahuizalco;tabernaculo, esquina opuesta a, 3A Avenida Sur, Nahuizalco;-89,738610;13,778083;Restaurante
Caserio Los Moran;Nahuizalco;Nahuizalco;-89,740429;13,778104;Restaurante
Cajetes, Rapida y Tipica;Nahuizalco;Calle princial nahuizalco Nahuizalco Sonsonate, Nahuizalco;-89,737156;13,778037;Restaurante
Bocaditos Mercedita's;Nahuizalco;2 calle pte y, 5 Av Sur, Nahuizalco;89,739342;13,779086;Restaurante
Ne Tupal;Nahuizalco;Nahuizalco;-89,737964;13,779790;Restaurante
Restaurante TOROGOZ;Nahuizalco;Nahuizalco;-89,736969;13,780329;Restaurante
Teshical comida mexicana;Nahuizalco;3 Calle Pte., Nahuizalco;-89,737466;13,780509;Restaurante
Chalet Efrain;Nahuizalco;3 Calle Pte., Nahuizalco;-89,737988;13,780670;Restaurante
Restaurante & Taqueria Pulque;Nahuizalco;Nahuizalco;-89,737822;13,781056;Restaurante
Pupusódromo Parque Nahuizalco;Nahuizalco;Nahuizalco;-89,737393;13,780889;Restaurante
La Chicharronería;Nahuizalco;3 Calle Pte., Nahuizalco;-89,737462;13,781309;Restaurante
El Rincon Del Ojushte;Nahuizalco;3 Calle Poniente, 3/5 avenida norte barrio la trinidad, Nahuizalco;-89,738974;13,781593;Restaurante
